CustomerID,Name,Email,SignupDate,Country,City
1,Eric Allison,chadwu@hotmail.com,2024-12-15,Heard Island and McDonald Islands,Henryland
2,Patricia Chavez,parkerjason@clark.net,2024-03-02,Chad,West Tinamouth
3,Herbert Leonard,griffithchad@tucker.biz,2022-01-29,Tunisia,Port Rachel
4,Jeffrey Matthews,gomezlance@gmail.com,2022-01-08,Suriname,West Jeffrey
5,Kathleen Vaughn,jenniferfoster@hotmail.com,2022-03-15,Kyrgyz Republic,Lake Bradley
6,Kristina Phillips,michael31@salazar-gonzalez.biz,2021-06-26,Tuvalu,Lake Kathleen
7,Dana Holmes,lewisjames@wright.com,2022-11-29,Aruba,North Crystal
8,Nicholas Gonzalez,brianalvarado@gmail.com,2021-03-26,Sweden,Sotoville
9,Larry Garrison,elizabethsheppard@parker-gill.info,2023-04-12,Niger,New Maria
10,Debra Fields,rickyburns@gmail.com,2024-11-14,Thailand,Wilsonhaven
11,Aaron Garcia,johnsondavid@harper-martinez.info,2023-02-11,Bulgaria,New Nicole
12,Heather Jones,mikeallen@thompson-cobb.com,2021-03-07,Micronesia,East Gary
13,Dustin Lloyd,ashley38@yahoo.com,2021-04-28,Barbados,North Katie
14,Nicole Bennett,davisbrooke@yahoo.com,2025-08-21,Equatorial Guinea,Prestonville
15,Jonathan Jones,kberg@yahoo.com,2024-12-21,Nicaragua,East Karen
16,Nancy Hill,erinpeterson@huffman-pearson.com,2022-12-14,Togo,West Daniel
17,Casey Oconnell,macdonalddeborah@kidd.com,2025-03-07,Tokelau,South Allison
18,Donald Cordova,samanthasanchez@lee-carter.net,2024-07-13,French Guiana,West Brittneyburgh
19,Christina Brown,cathyskinner@hotmail.com,2024-10-31,Bosnia and Herzegovina,Phillipland
20,Christopher Rodriguez,gneal@hotmail.com,2024-02-09,Saint Helena,Danielview
21,Crystal Brown,tholmes@murray.biz,2024-05-30,Senegal,South Nathan
22,Adam Mclaughlin,ronaldtate@hotmail.com,2024-03-04,Georgia,Padillafurt
23,Kayla Solomon,brockangela@yahoo.com,2024-04-08,Poland,South Jeffreyview
24,Linda Gray,zacharyclark@haynes.com,2023-06-22,Vanuatu,Christinaborough
25,Melissa Shaw,xgarcia@braun-mejia.com,2022-12-30,Mali,Marshallmouth
26,Stephen Wood,uelliott@gmail.com,2022-02-11,Angola,Tiffanyport
27,Amber Morrow,josephmanuel@grant-middleton.com,2025-02-12,Cuba,North Kimberly
28,Mr. Joseph Johnson,adammiller@gmail.com,2025-07-14,Saint Kitts and Nevis,New Tyler
29,Kathryn Brock,nathan51@lewis.com,2022-11-06,Macedonia,Valentinemouth
30,Bryan Tucker,lanekelly@walker.info,2022-02-04,Burundi,Karenfort
31,Hayley Duncan,thomasmary@jones.org,2022-06-15,Bulgaria,Mathewside
32,Jimmy Foster,robertsmith@mason.com,2021-09-26,Senegal,Gordonstad
33,John Jones,morrissean@gmail.com,2023-02-25,Pitcairn Islands,Craigchester
34,Anna Cooper DDS,carlos61@yahoo.com,2024-07-21,Argentina,Amyland
35,Jasmine Bush,crystalperkins@brown-rios.biz,2021-01-26,Vietnam,North Stephanie
36,Douglas Marshall,gonzalezvictor@yahoo.com,2024-02-12,Western Sahara,Port Geraldstad
37,Christine Sanders,jenkinselizabeth@hotmail.com,2022-04-13,Austria,Mercedesburgh
38,James Nelson,ygarcia@wilson.com,2023-02-14,Tuvalu,Brittanyview
39,Mr. Nathan Collins,brownjeremy@jordan-roberts.com,2020-10-24,Guam,New Jordanville
40,Jason Adams,lhall@hotmail.com,2023-05-29,Antarctica (the territory South of 60 deg S),Rodriguezhaven
41,Adrian Hayes,johnsonjohn@gmail.com,2024-07-18,Tonga,Lake Elizabethview
42,Becky Page,alicia19@hotmail.com,2024-09-02,Turkey,Lake Sherry
43,Rachel Elliott,guerrerotamara@yahoo.com,2022-02-05,Netherlands,Barnesburgh
44,Sharon Pearson,erika94@gmail.com,2023-01-19,Mayotte,Bruceview
45,Lisa Malone,aprilmiller@gmail.com,2025-06-03,Cameroon,Thomasmouth
46,Ian Webster,michaelwyatt@norris.info,2020-12-09,British Virgin Islands,Antonioburgh
47,David Wilson,phillipclark@gmail.com,2024-08-25,Niger,North Gary
48,Paul Wright,jgregory@prince.com,2022-12-02,Reunion,Rodriguezhaven
49,Melissa Cantu,andrea30@allen-olson.com,2025-04-05,Saint Lucia,West Donald
50,Miranda Sanders,qholder@hotmail.com,2023-07-20,South Africa,Weissshire
51,Luke Mullen,pughmichael@hotmail.com,2025-06-06,Turkmenistan,Stewartborough
52,Brett Burton,jenkinsthomas@hotmail.com,2024-07-26,Guernsey,South Nicole
53,Lynn Liu,johnsonloretta@marshall-johnson.biz,2023-02-20,Estonia,Heathermouth
54,Brian Turner,kristinekelly@hunt.com,2023-04-19,Comoros,Deleonburgh
55,Lori Crawford,gfoster@hotmail.com,2023-08-10,Chile,Diazville
56,Sarah Beck,cantumichael@hotmail.com,2022-01-04,Lao People's Democratic Republic,Hortonhaven
57,Christine Jimenez,richardjones@kelley.net,2025-04-06,Palau,South Bobby
58,Mary Matthews,tricia93@yu.com,2023-12-24,Bouvet Island (Bouvetoya),South Sara
59,Courtney Moses,ashleymartin@hotmail.com,2021-06-09,Lao People's Democratic Republic,Lake Matthewland
60,John Hernandez,rarnold@hotmail.com,2022-04-26,Cocos (Keeling) Islands,East Raymondchester
61,Bryan Ali,lterry@gmail.com,2024-07-18,Ethiopia,Port Craig
62,Michael Colon,pricealejandra@hotmail.com,2024-10-01,Ukraine,South Donnaburgh
63,Jody Smith,vroman@gmail.com,2021-12-20,Jersey,Alexanderhaven
64,Christina Phillips,crystal11@yahoo.com,2024-10-30,Gibraltar,West Ashley
65,Rebecca King PhD,joshuaosborne@gmail.com,2023-01-13,New Caledonia,Port Colinhaven
66,Donald Sullivan,susanmendoza@dean.com,2023-05-31,Northern Mariana Islands,East Matthewside
67,Robin Hubbard,vsmith@gmail.com,2022-02-12,Puerto Rico,Lake Stephanieberg
68,John Martinez,wpatel@sanchez.com,2024-06-25,Malaysia,South Trevor
69,Ronald Bartlett,dcunningham@gmail.com,2021-03-27,Belarus,Barnettfurt
